Title,Year,Metascore,imdbRating,imdbVotes,Type,totalSeasons,BoxOffice
the nice guys,2016,70.0,7.4,410135,movie,,36261763.0
shazam,2019,71.0,7.0,412905,movie,,140480049.0
john wick chapter 4,2023,78.0,7.6,405485,movie,,187131806.0
poor things,2023,88.0,7.7,391223,movie,,34553225.0
solo a star wars story,2018,62.0,6.9,406107,movie,,213767512.0
kingsman the golden circle,2017,44.0,6.7,400623,movie,,100234838.0
sex education,2019–2023,,8.2,393118,series,4.0,
mindhunter,2017–2019,,8.6,391041,series,2.0,
the accountant,2016,51.0,7.3,392294,movie,,86260045.0
snow white,2025,50.0,2.1,389458,movie,,87203963.0
nobody,2021,64.0,7.4,391880,movie,,27568035.0
your name,2016,81.0,8.4,385171,movie,,5017246.0
fallout,2024–,,8.3,389190,series,2.0,
annihilation,2018,79.0,6.8,391083,movie,,32732301.0
us,2019,81.0,6.8,390771,movie,,175084580.0
ozark,2017–2022,,8.4,387946,series,4.0,
lucifer,2016–2021,,8.0,389333,series,6.0,
severance,2022–,,8.6,385489,series,2.0,
black panther wakanda forever,2022,67.0,6.6,368850,movie,,453829060.0
pirates of the caribbean dead men tell no tales,2017,39.0,6.5,381325,movie,,172558876.0
10 cloverfield lane,2016,76.0,7.2,381655,movie,,72082998.0
jurassic world fallen kingdom,2018,51.0,6.1,382093,movie,,417719760.0
kong skull island,2017,62.0,6.7,371895,movie,,168052812.0
incredibles 2,2018,80.0,7.5,366471,movie,,608581744.0
weapons,2025,81.0,7.4,349399,movie,,151572492.0
project hail mary,2026,77.0,8.3,333549,movie,,341307287.0
you,2018–2025,,7.6,361631,series,5.0,
f1 the movie,2025,68.0,7.6,353753,movie,,189642436.0
lady bird,2017,93.0,7.4,363036,movie,,48958273.0
now you see me 2,2016,46.0,6.4,357612,movie,,65075540.0
call me by your name,2017,94.0,7.8,351228,movie,,18095701.0
beauty and the beast,2017,65.0,7.1,356758,movie,,504481165.0
succession,2018–2023,,8.8,346930,series,4.0,
manchester by the sea,2016,96.0,7.8,352390,movie,,47695371.0
uncut gems,2019,93.0,7.4,351556,movie,,50023780.0
it chapter two,2019,58.0,6.5,353654,movie,,211622525.0
moonlight,2016,99.0,7.4,349429,movie,,27854932.0
the greatest showman,2017,48.0,7.5,342749,movie,,174340174.0
alien covenant,2017,65.0,6.4,344333,movie,,74262031.0
the conjuring 2,2016,65.0,7.3,341821,movie,,102516140.0
invincible,2021–,,8.7,325720,series,4.0,
13 reasons why,2017–2020,,7.4,337279,series,4.0,
nocturnal animals,2016,67.0,7.4,331564,movie,,10663357.0
me before you,2016,51.0,7.4,330388,movie,,56245075.0
finding dory,2016,77.0,7.2,331036,movie,,486295561.0
fantastic beasts the crimes of grindelwald,2018,52.0,6.5,329657,movie,,159555901.0
don t breathe,2016,71.0,7.1,328090,movie,,89217875.0
mission impossible dead reckoning part one,2023,81.0,7.6,326383,movie,,172640980.0
war for the planet of the apes,2017,82.0,7.4,324617,movie,,146880162.0
the white lotus,2021–,,8.0,322287,series,3.0,
a quiet place part ii,2020,71.0,7.2,315806,movie,,160072261.0
alita battle angel,2019,53.0,7.3,321252,movie,,85838210.0
sully,2016,74.0,7.4,320206,movie,,125070033.0
furiosa a mad max saga,2024,79.0,7.5,311953,movie,,67475791.0
murder on the orient express,2017,52.0,6.5,319654,movie,,102826543.0
jumanji the next level,2019,58.0,6.6,316072,movie,,320314960.0
toy story 4,2019,84.0,7.6,310352,movie,,434038008.0
aspirants,2021–,,9.2,313882,series,2.0,
nope,2022,77.0,6.8,314732,movie,,123277080.0
wind river,2017,73.0,7.7,311709,movie,,33800859.0
aladdin,2019,53.0,6.9,312476,movie,,355559216.0
euphoria,2019–2026,,8.2,297928,series,3.0,
the umbrella academy,2019–2024,,7.8,312703,series,4.0,
blackkklansman,2018,83.0,7.5,314003,movie,,49275340.0
yellowstone,2018–2024,,8.6,308484,series,5.0,
wonder woman 1984,2020,60.0,5.3,310651,movie,,46801036.0
the bear,2022–,,8.5,304651,series,5.0,
train to busan,2016,73.0,7.6,300921,movie,,2129768.0
killers of the flower moon,2023,89.0,7.5,302730,movie,,68035488.0
the punisher,2017–2019,,8.4,293826,series,2.0,
the jungle book,2016,77.0,7.3,304379,movie,,364001123.0
venom let there be carnage,2021,49.0,5.9,304536,movie,,213550366.0
black adam,2022,41.0,6.1,303175,movie,,168152111.0
glass,2019,43.0,6.6,302015,movie,,111048468.0
the matrix resurrections,2021,63.0,5.6,301242,movie,,37686805.0
the lighthouse,2019,83.0,7.4,301036,movie,,10867104.0
gladiator ii,2024,64.0,6.4,296954,movie,,172438016.0
uncharted,2022,45.0,6.3,298712,movie,,148648820.0
war dogs,2016,57.0,7.1,294013,movie,,43034523.0
the northman,2022,82.0,7.0,298461,movie,,34233110.0
the whale,2022,60.0,7.6,281700,movie,,17463630.0
the handmaid s tale,2017–2025,,8.3,294353,series,6.0,
encanto,2021,75.0,7.2,293893,movie,,96093622.0
cruella,2021,59.0,7.3,293600,movie,,86103234.0
